start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1107.5375,1107.5464,38359.0,55048.0,Echolocation,Pipistrellus nathusii,0.623,0.684,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1107.9025,1107.9133,39218.0,54368.0,Echolocation,Pipistrellus nathusii,0.544,0.568,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1108.0945,1108.1032,38359.0,56315.0,Echolocation,Pipistrellus nathusii,0.414,0.531,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1108.1825,1108.1902,38359.0,51476.0,Echolocation,Pipistrellus nathusii,0.408,0.547,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1219.1565,1219.1743,22890.0,26486.0,Echolocation,Nyctalus leisleri,0.619,0.646,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1395.4895,1395.4991,44375.0,50529.0,Echolocation,Pipistrellus pipistrellus,0.355,0.549,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1395.6765,1395.6837,41796.0,54786.0,Echolocation,Pipistrellus nathusii,0.43,0.523,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1396.9245,1396.9312,43515.0,54505.0,Echolocation,Pipistrellus pipistrellus,0.449,0.589,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1397.1365,1397.1463,44375.0,62326.0,Echolocation,Pipistrellus pipistrellus,0.291,0.561,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1397.2145,1397.2242,43515.0,60910.0,Echolocation,Pipistrellus pipistrellus,0.379,0.607,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1397.6515,1397.6586,43515.0,59907.0,Echolocation,Pipistrellus pipistrellus,0.48,0.622,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1397.8425,1397.8529,43515.0,61511.0,Echolocation,Pipistrellus pipistrellus,0.246,0.507,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1397.9385,1397.9487,43515.0,62492.0,Echolocation,Pipistrellus pipistrellus,0.299,0.513,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1398.1895,1398.1968,40078.0,46945.0,Echolocation,Pipistrellus nathusii,0.445,0.502,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1398.5085,1398.5161,39218.0,47086.0,Echolocation,Pipistrellus nathusii,0.524,0.578,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
