KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
HF,1.875724,31250.0,28800.0,17.07056418677735,2401.8725,2401.8835,26328,48878,Eptesicus serotinus,0.476,0.71,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,HF,2025-05-02 04:10:15.872500,2025-05-02 04:10:15.872500,2025-05-02 04:10:15.883500,2401.8725,2401.8835
LF,1.911496,31250.0,33600.0,2.51950465510539,2401.9105,2401.9188,30625,43180,Eptesicus serotinus,0.196,0.256,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:15.910500,2025-05-02 04:10:15.910500,2025-05-02 04:10:15.918800,2401.9105,2401.9188
LF,1.957852,23437.5,24000.0,-1.9344425939820995,2401.9425,2401.9603,23750,28329,Nyctalus leisleri,0.183,0.336,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel3_2400to3000.WAV,LF,2025-05-02 04:10:15.942500,2025-05-02 04:10:15.942500,2025-05-02 04:10:15.960300,2401.9425,2401.9603
LF,2.0316360000000007,31250.0,29760.0,11.634151264788308,2402.0285,2402.0397,25468,43903,Eptesicus serotinus,0.428,0.676,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:16.028500,2025-05-02 04:10:16.028500,2025-05-02 04:10:16.039700,2402.0285,2402.0397
LF,2.0552520000000003,31250.0,28800.0,-3.344775010888988,2402.0505,2402.0621,27187,35167,Eptesicus serotinus,0.184,0.274,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel3_2400to3000.WAV,LF,2025-05-02 04:10:16.050500,2025-05-02 04:10:16.050500,2025-05-02 04:10:16.062100,2402.0505,2402.0621
LF,2.1059760000000005,39062.5,25920.0,9.224362686980331,2402.1055,2402.116,23750,42710,Nyctalus noctula,0.388,0.746,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:16.105500,2025-05-02 04:10:16.105500,2025-05-02 04:10:16.116000,2402.1055,2402.116
LF,2.1734960000000005,31250.0,29760.0,21.1408955292851,2402.1705,2402.1824,25468,46655,Eptesicus serotinus,0.504,0.716,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:16.170500,2025-05-02 04:10:16.170500,2025-05-02 04:10:16.182400,2402.1705,2402.1824
LF,2.209868,31250.0,25920.0,17.33175821480987,2402.2065,2402.2187,23750,47041,Nyctalus noctula,0.528,0.757,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,LF,2025-05-02 04:10:16.206500,2025-05-02 04:10:16.206500,2025-05-02 04:10:16.218700,2402.2065,2402.2187
LF,2.312064000000001,31250.0,27839.999999999996,7.356382328696832,2402.3105,2402.3198,26328,44577,Eptesicus serotinus,0.457,0.7,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:16.310500,2025-05-02 04:10:16.310500,2025-05-02 04:10:16.319800,2402.3105,2402.3198
LF,2.330392,31250.0,24960.0,10.995625215074982,2402.3295,2402.3416,23750,42452,Nyctalus noctula,0.428,0.669,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:16.329500,2025-05-02 04:10:16.329500,2025-05-02 04:10:16.341600,2402.3295,2402.3416
LF,2.448992,31250.0,32640.000000000004,6.36757823376668,2402.4465,2402.4598,23750,44421,Nyctalus noctula,0.4,0.735,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:16.446500,2025-05-02 04:10:16.446500,2025-05-02 04:10:16.459800,2402.4465,2402.4598
HF,2.54968,31250.0,26880.000000000004,14.553327531951336,2402.5475,2402.5582,23750,49525,Eptesicus serotinus,0.285,0.699,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel5_2400to3000.WAV,HF,2025-05-02 04:10:16.547500,2025-05-02 04:10:16.547500,2025-05-02 04:10:16.558200,2402.5475,2402.5582
LF,2.6284560000000003,31250.0,31680.0,0.7866759416013348,2402.6265,2402.6372,23750,32406,Nyctalus leisleri,0.255,0.629,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel6_2400to3000.WAV,LF,2025-05-02 04:10:16.626500,2025-05-02 04:10:16.626500,2025-05-02 04:10:16.637200,2402.6265,2402.6372
HF,2.6557320000000004,31250.0,33600.0,27.036068963628527,2402.6535,2402.6665,23750,51120,Eptesicus serotinus,0.352,0.724,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,HF,2025-05-02 04:10:16.653500,2025-05-02 04:10:16.653500,2025-05-02 04:10:16.666500,2402.6535,2402.6665
LF,2.7021759999999997,31250.0,26880.000000000004,12.989430150964411,2402.7005,2402.7126,24609,44267,Eptesicus serotinus,0.462,0.705,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:16.700500,2025-05-02 04:10:16.700500,2025-05-02 04:10:16.712600,2402.7005,2402.7126
LF,2.7616600000000004,31250.0,32640.000000000004,24.740882320096517,2402.7595,2402.7719,23750,47929,Eptesicus serotinus,0.359,0.751,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:16.759500,2025-05-02 04:10:16.759500,2025-05-02 04:10:16.771900,2402.7595,2402.7719
LF,2.7929640000000004,31250.0,27839.999999999996,3.869362846250359,2402.7885,2402.7977,25468,41528,Eptesicus serotinus,0.43,0.646,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:16.788500,2025-05-02 04:10:16.788500,2025-05-02 04:10:16.797700,2402.7885,2402.7977
HF,2.8735040000000005,31250.0,25920.0,17.225875131453453,2402.8715,2402.8826,23750,47664,Eptesicus serotinus,0.374,0.747,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel5_2400to3000.WAV,HF,2025-05-02 04:10:16.871500,2025-05-02 04:10:16.871500,2025-05-02 04:10:16.882600,2402.8715,2402.8826
LF,2.9864279999999996,31250.0,29760.0,29.829304530045352,2402.9835,2402.9967,22890,47855,Nyctalus noctula,0.467,0.747,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel7_2400to3000.WAV,LF,2025-05-02 04:10:16.983500,2025-05-02 04:10:16.983500,2025-05-02 04:10:16.996700,2402.9835,2402.9967
LF,3.015116000000001,31250.0,26880.000000000004,4.555063510608633,2403.0125,2403.0231,25468,36555,Eptesicus serotinus,0.306,0.708,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:17.012500,2025-05-02 04:10:17.012500,2025-05-02 04:10:17.023100,2403.0125,2403.0231
LF,3.0540000000000007,23437.5,25920.0,0.7822233182615097,2403.0495,2403.0618,22890,29830,Nyctalus noctula,0.34,0.6,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel7_2400to3000.WAV,LF,2025-05-02 04:10:17.049500,2025-05-02 04:10:17.049500,2025-05-02 04:10:17.061800,2403.0495,2403.0618
LF,3.104976,31250.0,32640.000000000004,31.874829946605292,2403.1025,2403.1166,22890,47908,Nyctalus noctula,0.444,0.759,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:17.102500,2025-05-02 04:10:17.102500,2025-05-02 04:10:17.116600,2403.1025,2403.1166
LF,3.1727680000000005,31250.0,25920.0,1.6704669754071868,2403.1655,2403.1766,24609,31829,Nyctalus noctula,0.207,0.562,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,LF,2025-05-02 04:10:17.165500,2025-05-02 04:10:17.165500,2025-05-02 04:10:17.176600,2403.1655,2403.1766
