KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
LF,329.758788,23437.5,26880.000000000004,3.64811356428313,1529.7485,1529.7633,25468.0,29488.0,Echolocation,Nyctalus leisleri,0.556,0.654,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:43.748500000,2025-05-02 03:55:43.748500000,2025-05-02 03:55:43.763300000,1529.7485,1529.7633
LF,329.924048,31250.0,26880.000000000004,1.9248480865912796,1529.9185,1529.933,25468.0,29371.0,Echolocation,Nyctalus leisleri,0.405,0.491,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:43.918500000,2025-05-02 03:55:43.918500000,2025-05-02 03:55:43.933000000,1529.9185,1529.933
LF,330.090412,31250.0,31680.0,-0.1085150287347089,1530.0885,1530.1007,26328.0,32092.0,Echolocation,Nyctalus leisleri,0.287,0.47,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:44.088500000,2025-05-02 03:55:44.088500000,2025-05-02 03:55:44.100700000,1530.0885,1530.1007
LF,330.244056,31250.0,32640.000000000004,0.8378096424237912,1530.2425,1530.2564,25468.0,31284.0,Echolocation,Nyctalus leisleri,0.242,0.391,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:44.242500000,2025-05-02 03:55:44.242500000,2025-05-02 03:55:44.256400000,1530.2425,1530.2564
LF,330.400844,31250.0,26880.000000000004,2.057158598790912,1530.3975,1530.4095,25468.0,31734.0,Echolocation,Nyctalus leisleri,0.392,0.606,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:44.397500000,2025-05-02 03:55:44.397500000,2025-05-02 03:55:44.409500000,1530.3975,1530.4095
LF,331.460796,31250.0,30720.0,-0.167284803154349,1531.4585,1531.4711,25468.0,32190.0,Echolocation,Nyctalus leisleri,0.204,0.398,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:45.458500000,2025-05-02 03:55:45.458500000,2025-05-02 03:55:45.471100000,1531.4585,1531.4711
LF,331.764216,31250.0,26880.000000000004,2.0847913144159578,1531.7535,1531.7672,26328.0,30932.0,Echolocation,Nyctalus leisleri,0.306,0.467,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:45.753500000,2025-05-02 03:55:45.753500000,2025-05-02 03:55:45.767200000,1531.7535,1531.7672
LF,331.914416,31250.0,30720.0,1.2318943614651463,1531.9105,1531.9225999999999,26328.0,32208.0,Echolocation,Nyctalus leisleri,0.328,0.546,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:45.910500000,2025-05-02 03:55:45.910500000,2025-05-02 03:55:45.922599999,1531.9105,1531.9225999999999
LF,332.184636,31250.0,26880.000000000004,4.2041016747108,1532.1705,1532.1847,25468.0,30468.0,Echolocation,Nyctalus leisleri,0.427,0.577,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:46.170500000,2025-05-02 03:55:46.170500000,2025-05-02 03:55:46.184700000,1532.1705,1532.1847
LF,332.4544,23437.5,26880.000000000004,4.382821817332035,1532.4434999999999,1532.4605999999999,25468.0,28474.0,Echolocation,Nyctalus leisleri,0.419,0.507,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel2_1200to1800.WAV,LF,2025-05-02 03:55:46.443499999,2025-05-02 03:55:46.443499999,2025-05-02 03:55:46.460600000,1532.4434999999999,1532.4605999999999
LF,332.7275,31250.0,26880.000000000004,1.6986297955253336,1532.7125,1532.7283,25468.0,29451.0,Echolocation,Nyctalus leisleri,0.449,0.547,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:46.712500000,2025-05-02 03:55:46.712500000,2025-05-02 03:55:46.728300000,1532.7125,1532.7283
LF,332.961612,31250.0,26880.000000000004,2.6788877574497016,1532.9595,1532.9743,25468.0,29877.0,Echolocation,Nyctalus leisleri,0.422,0.537,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:46.959500000,2025-05-02 03:55:46.959500000,2025-05-02 03:55:46.974300000,1532.9595,1532.9743
LF,333.232388,31250.0,26880.000000000004,3.0861456228826443,1533.2215,1533.2357,25468.0,30287.0,Echolocation,Nyctalus leisleri,0.426,0.547,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:47.221500000,2025-05-02 03:55:47.221500000,2025-05-02 03:55:47.235700000,1533.2215,1533.2357
LF,333.504304,31250.0,26880.000000000004,3.2645174970245705,1533.4945,1533.509,25468.0,29175.0,Echolocation,Nyctalus leisleri,0.501,0.567,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel5_1200to1800.WAV,LF,2025-05-02 03:55:47.494500000,2025-05-02 03:55:47.494500000,2025-05-02 03:55:47.509000000,1533.4945,1533.509
LF,333.735908,23437.5,25920.0,5.685509063503472,1533.7255,1533.7413000000001,25468.0,28412.0,Echolocation,Nyctalus leisleri,0.532,0.579,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:47.725500000,2025-05-02 03:55:47.725500000,2025-05-02 03:55:47.741300000,1533.7255,1533.7413000000001
