Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
LF	11.396833333333332	21000.0	21120.0	8.95205964840413	11.3925	11.4015	18593	25483	Plecotus austriacus	0.045	0.089	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	75	Waveform 1	1
HF	11.787233333333331	45750.0	43200.0	2.80273067126657	11.7835	11.7896	41796	54100	Myotis brandtii	0.006	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	76	Waveform 1	1
HF	11.786633333333336	48750.0	43200.0	2.1221932157588617	11.7855	11.7907	32343	49252	Myotis daubentonii	0.005	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	77	Waveform 1	1
HF	12.384133333333333	52500.0	54719.99999999999	3.069278062063	12.3775	12.3877	50390	56126	Pipistrellus pipistrellus	0.032	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	78	Waveform 1	1
LF	12.4539	22500.0	22080.0	2.4790605756487056	12.4525	12.4621	22031	27117	Nyctalus leisleri	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	79	Waveform 1	1
LF	12.629866666666665	23250.0	23040.0	2.352249849898532	12.6275	12.6338	24609	40097	Plecotus austriacus	0.016	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	80	Waveform 1	1
LF	12.6533	24000.0	25920.0	2.0998193412353565	12.6525	12.6592	23750	35816	Plecotus austriacus	0.013	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	81	Waveform 1	1
HF	12.951866666666668	41250.0	48000.0	2.4055837263711504	12.9495	12.9558	35781	60774	Myotis bechsteinii	0.01	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	82	Waveform 1	1
LF	13.016333333333334	26250.0	26880.000000000004	2.064162285194531	13.0135	13.0205	27187	40888	Eptesicus serotinus	0.005	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	83	Waveform 1	1
LF	13.086466666666666	23250.0	23040.0	2.7014250827846134	13.0785	13.0897	22890	28055	Nyctalus leisleri	0.013	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	84	Waveform 1	1
LF	13.240866666666667	23250.0	22080.0	2.1565504505262627	13.2315	13.2448	17734	23019	Nyctalus noctula	0.022	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	85	Waveform 1	1
