Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	64.94543333333333	51750.0	48000.0	0.4850522077729179	64.9445	64.9499	33203	68265	Myotis mystacinus	0.012	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	36	Waveform 1	1
HF	65.00789999999999	45750.0	48960.0	2.3425157847166593	65.0055	65.0106	31484	75180	Myotis mystacinus	0.027	0.066	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	37	Waveform 1	1
HF	65.0526	55500.0	48960.0	3.202486628431696	65.0505	65.0559	33203	68694	Myotis mystacinus	0.01	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	38	Waveform 1	1
HF	65.09893333333333	48750.0	46080.0	1.8577977033095272	65.0975	65.1024	34921	76552	Myotis mystacinus	0.02	0.045	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	39	Waveform 1	1
HF	65.15333333333334	54000.0	53760.00000000001	5.17089341128738	65.1525	65.158	33203	66681	Myotis mystacinus	0.008	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	40	Waveform 1	1
HF	65.2057	53250.0	52800.00000000001	4.439635611671324	65.2035	65.2088	34062	66130	Myotis brandtii	0.009	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	41	Waveform 1	1
HF	65.2547	54000.0	52800.00000000001	5.273869229018863	65.2525	65.2578	32343	73273	Myotis mystacinus	0.011	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	42	Waveform 1	1
HF	65.30146666666667	54750.0	51840.0	5.606975835145026	65.2985	65.3042	33203	68106	Myotis brandtii	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	43	Waveform 1	1
HF	65.34909999999999	51750.0	48960.0	11.50976474278881	65.3475	65.3534	31484	61274	Myotis daubentonii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	44	Waveform 1	1
HF	65.4059	49500.0	48960.0	11.86473400184903	65.4035	65.4086	32343	71606	Myotis mystacinus	0.015	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	45	Waveform 1	1
HF	65.40633333333334	53250.0	57600.0	14.040684214436876	65.4045	65.409	54687	61611	Pipistrellus pygmaeus	0.043	0.047	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	46	Waveform 1	1
HF	65.45743333333334	69750.0	69120.0	0.3643840175425469	65.4545	65.4929	68437	80921	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	47	Waveform 1	1
HF	65.45779999999999	48000.0	47040.0	8.950842919759074	65.4555	65.4607	30625	74085	Myotis mystacinus	0.014	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	48	Waveform 1	1
HF	65.49723333333333	48750.0	48960.0	3.0124250251359737	65.4935	65.4996	32343	67746	Myotis mystacinus	0.011	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	49	Waveform 1	1
HF	65.53526666666667	44250.0	47040.0	1.8119551181516231	65.5325	65.5384	33203	56371	Myotis daubentonii	0.015	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	50	Waveform 1	1
HF	65.57003333333333	45000.0	48000.0	4.267662190566009	65.5685	65.5733	31484	78897	Myotis mystacinus	0.027	0.069	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	51	Waveform 1	1
HF	66.8856	48000.0	48960.0	2.9708861486536775	66.8835	66.8889	34921	63021	Myotis mystacinus	0.01	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	52	Waveform 1	1
HF	81.51766666666667	69000.0	69120.0	-0.3699872318739583	81.5145	81.5515	68437	81785	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	53	Waveform 1	1
HF	94.78873333333333	53250.0	52800.00000000001	3.2485928168024243	94.7875	94.7926	35781	61975	Myotis mystacinus	0.011	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	54	Waveform 1	1
HF	95.31563333333334	50250.0	49920.0	1.5709309387513006	95.3145	95.3197	36640	62423	Myotis brandtii	0.01	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	55	Waveform 1	1
