,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
236,0.58,10,157,10,0,147,0,1.0,0.06369426751592357,20220727_083000.WAV,Foliage
237,0.59,9,157,9,0,148,0,1.0,0.05732484076433121,20220727_083000.WAV,Foliage
238,0.6,8,157,8,0,149,0,1.0,0.050955414012738856,20220727_083000.WAV,Foliage
239,0.61,6,157,6,0,151,0,1.0,0.03821656050955414,20220727_083000.WAV,Foliage
240,0.62,6,157,6,0,151,0,1.0,0.03821656050955414,20220727_083000.WAV,Foliage
241,0.63,5,157,5,0,152,0,1.0,0.03184713375796178,20220727_083000.WAV,Foliage
242,0.64,3,157,3,0,154,0,1.0,0.01910828025477707,20220727_083000.WAV,Foliage
243,0.65,2,157,2,0,155,0,1.0,0.012738853503184714,20220727_083000.WAV,Foliage
244,0.66,2,157,2,0,155,0,1.0,0.012738853503184714,20220727_083000.WAV,Foliage
245,0.67,1,157,1,0,156,0,1.0,0.006369426751592357,20220727_083000.WAV,Foliage
246,0.68,1,157,1,0,156,0,1.0,0.006369426751592357,20220727_083000.WAV,Foliage
247,0.69,1,157,1,0,156,0,1.0,0.006369426751592357,20220727_083000.WAV,Foliage
248,0.7,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
249,0.71,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
250,0.72,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
251,0.73,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
252,0.74,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
253,0.75,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
254,0.76,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
255,0.77,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
256,0.78,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
257,0.79,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
258,0.8,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
259,0.81,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
260,0.82,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
261,0.83,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
262,0.84,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
263,0.85,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
264,0.86,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
265,0.87,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
266,0.88,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
267,0.89,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
268,0.9,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
269,0.91,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
270,0.92,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
271,0.93,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
272,0.94,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
273,0.95,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
274,0.96,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
275,0.97,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
276,0.98,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
277,0.99,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
278,1.0,0,157,0,0,157,0,,0.0,20220727_083000.WAV,Foliage
279,0.08,139,3,2,137,1,0,0.014388489208633094,0.6666666666666666,20220829_090000.WAV,Foliage
280,0.09,88,3,2,86,1,0,0.022727272727272728,0.6666666666666666,20220829_090000.WAV,Foliage
281,0.1,63,3,2,61,1,0,0.031746031746031744,0.6666666666666666,20220829_090000.WAV,Foliage
282,0.11,46,3,1,45,2,0,0.021739130434782608,0.3333333333333333,20220829_090000.WAV,Foliage
283,0.12,37,3,1,36,2,0,0.02702702702702703,0.3333333333333333,20220829_090000.WAV,Foliage
