KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,28800.0,5.923075088168332,111.9735,111.9834,27187.0,34781.0,Eptesicus serotinus,0.293,0.425,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,27840.0,18.158833459333046,112.1275,112.1358,27187.0,40300.0,Eptesicus serotinus,0.455,0.644,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,28800.0,4.469270185138339,112.2465,112.2565,27187.0,34866.0,Eptesicus serotinus,0.316,0.495,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,28800.0,9.100184152461301,112.37049999999999,112.381,27187.0,34706.0,Eptesicus serotinus,0.27,0.386,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,28800.0,2.574650830801868,112.5315,112.5399,27187.0,35923.0,Eptesicus serotinus,0.21,0.305,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,30720.0,2.5890920083923934,114.8445,114.85300000000001,28906.0,35665.0,Eptesicus serotinus,0.241,0.37,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,24000.0,2.2165264300116587,120.5795,120.5929,23750.0,28839.0,Nyctalus leisleri,0.222,0.405,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,23040.0,3.918881120698882,121.0165,121.0296,23750.0,27439.0,Nyctalus leisleri,0.34,0.432,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
HF,48960.0,6.013966343045095,12.5755,12.584,46953.0,61585.0,Pipistrellus pipistrellus,0.428,0.503,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,46080.0,8.65197742788191,12.6545,12.6615,43515.0,62233.0,Pipistrellus pipistrellus,0.18,0.404,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,54720.0,7.468841115418795,12.7135,12.7219,47812.0,59422.0,Pipistrellus pipistrellus,0.229,0.319,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,47040.0,7.271359729175063,12.7845,12.7925,44375.0,59391.0,Pipistrellus pipistrellus,0.254,0.389,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,47040.0,12.98391022503523,12.8685,12.8775,45234.0,59033.0,Pipistrellus pipistrellus,0.335,0.422,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48960.0,12.288340660786094,12.9445,12.9519,45234.0,57840.0,Pipistrellus pipistrellus,0.365,0.455,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,12.963541016896642,13.0085,13.0164,43515.0,61191.0,Pipistrellus pipistrellus,0.325,0.526,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,9.2629996608986,13.0965,13.1057,46093.0,61015.0,Pipistrellus pipistrellus,0.303,0.411,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,12.278528009069722,13.1705,13.1783,44375.0,66412.0,Pipistrellus pipistrellus,0.186,0.385,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,9.548985798368507,13.2325,13.2403,46953.0,63849.0,Pipistrellus pipistrellus,0.438,0.568,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,47040.0,11.273983956494682,13.3085,13.3171,45234.0,60901.0,Pipistrellus pipistrellus,0.232,0.357,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,7.343285695531689,13.3605,13.3682,48671.0,63191.0,Pipistrellus pipistrellus,0.309,0.427,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,11.66472701667473,13.4205,13.4277,46953.0,63269.0,Pipistrellus pipistrellus,0.381,0.479,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,15.271201547993869,13.4905,13.4966,46093.0,68732.0,Pipistrellus pipistrellus,0.362,0.543,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,54720.0,12.771922876162511,13.5435,13.5476,48671.0,70179.0,Myotis alcathoe,0.31,0.432,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,15.984996492098404,13.6005,13.606,46953.0,73998.0,Myotis alcathoe,0.249,0.535,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,51840.0,15.329305899732638,13.6605,13.6644,46953.0,77087.0,Myotis alcathoe,0.365,0.494,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,13.473353681154839,13.7195,13.7249,43515.0,77730.0,Myotis alcathoe,0.342,0.49,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,51840.0,12.29839040403842,13.7745,13.7784,43515.0,77454.0,Myotis alcathoe,0.287,0.468,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,51840.0,18.283838207970867,13.8355,13.8401,43515.0,80585.0,Myotis alcathoe,0.315,0.502,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,22.852277686552327,13.9075,13.9123,43515.0,86435.0,Myotis alcathoe,0.383,0.587,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,19.12650388343683,13.9845,13.9888,44375.0,73596.0,Myotis alcathoe,0.247,0.447,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,29.324219851541184,14.0315,14.0346,43515.0,80935.0,Myotis alcathoe,0.402,0.649,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,55680.0,26.595963611213435,14.0695,14.0734,46093.0,87456.0,Myotis alcathoe,0.282,0.426,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,55680.0,27.21742827460482,14.1105,14.1139,45234.0,82639.0,Myotis alcathoe,0.454,0.587,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,53760.0,22.891845429419018,14.1525,14.1569,44375.0,90005.0,Myotis alcathoe,0.381,0.678,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,53760.0,25.56889419552661,14.1975,14.2006,46093.0,83146.0,Myotis alcathoe,0.45,0.664,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,53760.0,23.722008180978733,14.2375,14.2417,45234.0,88819.0,Myotis alcathoe,0.408,0.559,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,24.766957699978054,14.2785,14.2828,51250.0,81224.0,Myotis alcathoe,0.349,0.425,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,23.78532143897234,14.2795,14.2835,44375.0,89035.0,Myotis alcathoe,0.322,0.512,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,23.782805791414205,14.3285,14.3324,44375.0,84210.0,Myotis alcathoe,0.4,0.639,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,19.19102069120459,14.3855,14.3892,45234.0,76406.0,Myotis alcathoe,0.39,0.6,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,53760.0,16.276659851210457,14.4265,14.4294,48671.0,67002.0,Myotis alcathoe,0.244,0.506,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,19.736825191933242,14.4755,14.4785,45234.0,74329.0,Myotis alcathoe,0.27,0.52,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,16.05618607298471,14.5425,14.5463,52109.0,63203.0,Pipistrellus pygmaeus,0.286,0.45,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,14.208473844492914,14.5425,14.5452,45234.0,69501.0,Myotis alcathoe,0.212,0.367,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,18.488084149236602,14.5905,14.5938,43515.0,78716.0,Myotis alcathoe,0.326,0.642,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,52800.0,27.52990577490405,14.6445,14.6475,41796.0,82632.0,Myotis brandtii,0.269,0.609,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,21.780395833914405,14.6925,14.6966,41796.0,84051.0,Myotis brandtii,0.32,0.676,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,24.051236481289312,14.7345,14.7389,41796.0,87563.0,Myotis brandtii,0.212,0.529,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,55680.0,18.258456861013954,14.7685,14.7726,42656.0,77626.0,Myotis brandtii,0.271,0.655,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,20.155394711642685,14.8085,14.8112,42656.0,79274.0,Myotis brandtii,0.23,0.641,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,17.190317642271804,14.8465,14.8505,42656.0,85730.0,Myotis alcathoe,0.267,0.692,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,17.3297017848386,14.8835,14.888,41796.0,84948.0,Myotis brandtii,0.241,0.575,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,56640.0,13.493756859077768,14.9615,14.965,42656.0,79571.0,Myotis brandtii,0.286,0.609,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,11.889191102490964,15.0005,15.0035,42656.0,78956.0,Myotis brandtii,0.233,0.611,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
HF,47040.0,11.337686011021496,15.0385,15.0418,42656.0,80463.0,Myotis alcathoe,0.235,0.488,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_041000.WAV,recover-20250821,UBNA_022,Foliage
