KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,33600.0,3.0849228564122884,145.4445,145.4523,28906.0,38376.0,Echolocation,Eptesicus serotinus,0.197,0.313,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_223000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,24960.0,2.1473855873202754,17.1995,17.2027,22890.0,43272.0,Echolocation,Plecotus austriacus,0.219,0.334,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,4.721099686132693,40.2525,40.2553,28906.0,45089.0,Echolocation,Myotis nattereri,0.159,0.477,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,4.674835740996015,50.694500000000005,50.698499999999996,29765.0,42276.0,Echolocation,Eptesicus serotinus,0.123,0.443,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,11.741409127511393,52.5005,52.5039,28046.0,42656.0,Echolocation,Plecotus austriacus,0.111,0.36,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,4.936722870600587,55.3065,55.3095,29765.0,44248.0,Echolocation,Plecotus austriacus,0.115,0.427,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,24000.0,1.965593426236762,135.2605,135.2643,23750.0,43212.0,Echolocation,Plecotus auritus,0.263,0.384,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,40320.0,4.601328347387316,197.6275,197.6303,32343.0,47044.0,Echolocation,Myotis daubentonii,0.129,0.433,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,7.370394347177706,283.5335,283.5369,27187.0,40864.0,Echolocation,Plecotus auritus,0.142,0.347,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_224000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,41280.0,7.124242143420902,6.1425,6.1456,31484.0,46959.0,Echolocation,Myotis daubentonii,0.128,0.356,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
