,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
151,4.0,0.32,98,100,87,11,13,0,0.8877551020408163,0.87,20220730_053000.WAV,Carp Pond
152,4.0,0.33,98,100,87,11,13,0,0.8877551020408163,0.87,20220730_053000.WAV,Carp Pond
153,4.0,0.34,96,100,86,10,14,0,0.8958333333333334,0.86,20220730_053000.WAV,Carp Pond
154,4.0,0.35,95,100,85,10,15,0,0.8947368421052632,0.85,20220730_053000.WAV,Carp Pond
155,4.0,0.36,95,100,85,10,15,0,0.8947368421052632,0.85,20220730_053000.WAV,Carp Pond
156,4.0,0.37,93,100,84,9,16,0,0.9032258064516129,0.84,20220730_053000.WAV,Carp Pond
157,4.0,0.38,90,100,83,7,17,0,0.9222222222222223,0.83,20220730_053000.WAV,Carp Pond
158,4.0,0.39,89,100,82,7,18,0,0.9213483146067416,0.82,20220730_053000.WAV,Carp Pond
159,4.0,0.4,88,100,81,7,19,0,0.9204545454545454,0.81,20220730_053000.WAV,Carp Pond
160,4.0,0.41,86,100,80,6,20,0,0.9302325581395349,0.8,20220730_053000.WAV,Carp Pond
161,4.0,0.42,86,100,80,6,20,0,0.9302325581395349,0.8,20220730_053000.WAV,Carp Pond
162,4.0,0.43,86,100,80,6,20,0,0.9302325581395349,0.8,20220730_053000.WAV,Carp Pond
163,4.0,0.44,81,100,77,4,23,0,0.9506172839506173,0.77,20220730_053000.WAV,Carp Pond
164,4.0,0.45,78,100,75,3,25,0,0.9615384615384616,0.75,20220730_053000.WAV,Carp Pond
165,4.0,0.46,77,100,74,3,26,0,0.961038961038961,0.74,20220730_053000.WAV,Carp Pond
166,4.0,0.47,76,100,73,3,27,0,0.9605263157894737,0.73,20220730_053000.WAV,Carp Pond
167,4.0,0.48,71,100,69,2,31,0,0.971830985915493,0.69,20220730_053000.WAV,Carp Pond
168,4.0,0.49,65,100,65,0,35,0,1.0,0.65,20220730_053000.WAV,Carp Pond
169,4.0,0.5,63,100,63,0,37,0,1.0,0.63,20220730_053000.WAV,Carp Pond
170,4.0,0.51,58,100,58,0,42,0,1.0,0.58,20220730_053000.WAV,Carp Pond
171,4.0,0.52,53,100,53,0,47,0,1.0,0.53,20220730_053000.WAV,Carp Pond
172,4.0,0.53,53,100,53,0,47,0,1.0,0.53,20220730_053000.WAV,Carp Pond
173,4.0,0.54,49,100,49,0,51,0,1.0,0.49,20220730_053000.WAV,Carp Pond
174,4.0,0.55,46,100,46,0,54,0,1.0,0.46,20220730_053000.WAV,Carp Pond
175,4.0,0.56,39,100,39,0,61,0,1.0,0.39,20220730_053000.WAV,Carp Pond
176,4.0,0.57,33,100,33,0,67,0,1.0,0.33,20220730_053000.WAV,Carp Pond
177,4.0,0.58,31,100,31,0,69,0,1.0,0.31,20220730_053000.WAV,Carp Pond
178,4.0,0.59,28,100,28,0,72,0,1.0,0.28,20220730_053000.WAV,Carp Pond
179,4.0,0.6,22,100,22,0,78,0,1.0,0.22,20220730_053000.WAV,Carp Pond
180,6.0,0.01,141,85,79,62,6,0,0.5602836879432624,0.9294117647058824,20220730_053000.WAV,Carp Pond
181,6.0,0.02,141,85,79,62,6,0,0.5602836879432624,0.9294117647058824,20220730_053000.WAV,Carp Pond
182,6.0,0.03,129,85,79,50,6,0,0.6124031007751938,0.9294117647058824,20220730_053000.WAV,Carp Pond
183,6.0,0.04,120,85,79,41,6,0,0.6583333333333333,0.9294117647058824,20220730_053000.WAV,Carp Pond
184,6.0,0.05,106,85,79,27,6,0,0.7452830188679245,0.9294117647058824,20220730_053000.WAV,Carp Pond
185,6.0,0.06,105,85,79,26,6,0,0.7523809523809524,0.9294117647058824,20220730_053000.WAV,Carp Pond
186,6.0,0.07,103,85,79,24,6,0,0.7669902912621359,0.9294117647058824,20220730_053000.WAV,Carp Pond
187,6.0,0.08,100,85,79,21,6,0,0.79,0.9294117647058824,20220730_053000.WAV,Carp Pond
188,6.0,0.09,100,85,79,21,6,0,0.79,0.9294117647058824,20220730_053000.WAV,Carp Pond
189,6.0,0.1,100,85,79,21,6,0,0.79,0.9294117647058824,20220730_053000.WAV,Carp Pond
190,6.0,0.11,100,85,79,21,6,0,0.79,0.9294117647058824,20220730_053000.WAV,Carp Pond
191,6.0,0.12,99,85,79,20,6,0,0.797979797979798,0.9294117647058824,20220730_053000.WAV,Carp Pond
192,6.0,0.13,98,85,79,19,6,0,0.8061224489795918,0.9294117647058824,20220730_053000.WAV,Carp Pond
193,6.0,0.14,97,85,79,18,6,0,0.8144329896907216,0.9294117647058824,20220730_053000.WAV,Carp Pond
194,6.0,0.15,97,85,79,18,6,0,0.8144329896907216,0.9294117647058824,20220730_053000.WAV,Carp Pond
195,6.0,0.16,96,85,79,17,6,0,0.8229166666666666,0.9294117647058824,20220730_053000.WAV,Carp Pond
196,6.0,0.17,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
197,6.0,0.18,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
198,6.0,0.19,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
199,6.0,0.2,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
200,6.0,0.21,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
201,6.0,0.22,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
202,6.0,0.23,95,85,79,16,6,0,0.8315789473684211,0.9294117647058824,20220730_053000.WAV,Carp Pond
203,6.0,0.24,94,85,78,16,7,0,0.8297872340425532,0.9176470588235294,20220730_053000.WAV,Carp Pond
204,6.0,0.25,94,85,78,16,7,0,0.8297872340425532,0.9176470588235294,20220730_053000.WAV,Carp Pond
205,6.0,0.26,92,85,77,15,8,0,0.8369565217391305,0.9058823529411765,20220730_053000.WAV,Carp Pond
206,6.0,0.27,92,85,77,15,8,0,0.8369565217391305,0.9058823529411765,20220730_053000.WAV,Carp Pond
207,6.0,0.28,92,85,77,15,8,0,0.8369565217391305,0.9058823529411765,20220730_053000.WAV,Carp Pond
208,6.0,0.29,92,85,77,15,8,0,0.8369565217391305,0.9058823529411765,20220730_053000.WAV,Carp Pond
209,6.0,0.3,92,85,77,15,8,0,0.8369565217391305,0.9058823529411765,20220730_053000.WAV,Carp Pond
210,6.0,0.31,91,85,77,14,8,0,0.8461538461538461,0.9058823529411765,20220730_053000.WAV,Carp Pond
211,6.0,0.32,90,85,77,13,8,0,0.8555555555555555,0.9058823529411765,20220730_053000.WAV,Carp Pond
212,6.0,0.33,90,85,77,13,8,0,0.8555555555555555,0.9058823529411765,20220730_053000.WAV,Carp Pond
213,6.0,0.34,88,85,76,12,9,0,0.8636363636363636,0.8941176470588236,20220730_053000.WAV,Carp Pond
214,6.0,0.35,87,85,76,11,9,0,0.8735632183908046,0.8941176470588236,20220730_053000.WAV,Carp Pond
215,6.0,0.36,87,85,76,11,9,0,0.8735632183908046,0.8941176470588236,20220730_053000.WAV,Carp Pond
216,6.0,0.37,86,85,75,11,10,0,0.872093023255814,0.8823529411764706,20220730_053000.WAV,Carp Pond
217,6.0,0.38,83,85,74,9,11,0,0.891566265060241,0.8705882352941177,20220730_053000.WAV,Carp Pond
218,6.0,0.39,82,85,74,8,11,0,0.9024390243902439,0.8705882352941177,20220730_053000.WAV,Carp Pond
219,6.0,0.4,81,85,73,8,12,0,0.9012345679012346,0.8588235294117647,20220730_053000.WAV,Carp Pond
220,6.0,0.41,79,85,72,7,13,0,0.9113924050632911,0.8470588235294118,20220730_053000.WAV,Carp Pond
221,6.0,0.42,79,85,72,7,13,0,0.9113924050632911,0.8470588235294118,20220730_053000.WAV,Carp Pond
222,6.0,0.43,79,85,72,7,13,0,0.9113924050632911,0.8470588235294118,20220730_053000.WAV,Carp Pond
223,6.0,0.44,75,85,69,6,16,0,0.92,0.8117647058823529,20220730_053000.WAV,Carp Pond
224,6.0,0.45,73,85,68,5,17,0,0.9315068493150684,0.8,20220730_053000.WAV,Carp Pond
225,6.0,0.46,72,85,67,5,18,0,0.9305555555555556,0.788235294117647,20220730_053000.WAV,Carp Pond
226,6.0,0.47,71,85,66,5,19,0,0.9295774647887324,0.7764705882352941,20220730_053000.WAV,Carp Pond
227,6.0,0.48,66,85,62,4,23,0,0.9393939393939394,0.7294117647058823,20220730_053000.WAV,Carp Pond
228,6.0,0.49,61,85,59,2,26,0,0.9672131147540983,0.6941176470588235,20220730_053000.WAV,Carp Pond
229,6.0,0.5,59,85,59,0,26,0,1.0,0.6941176470588235,20220730_053000.WAV,Carp Pond
230,6.0,0.51,54,85,54,0,31,0,1.0,0.6352941176470588,20220730_053000.WAV,Carp Pond
231,6.0,0.52,49,85,49,0,36,0,1.0,0.5764705882352941,20220730_053000.WAV,Carp Pond
232,6.0,0.53,49,85,49,0,36,0,1.0,0.5764705882352941,20220730_053000.WAV,Carp Pond
233,6.0,0.54,45,85,45,0,40,0,1.0,0.5294117647058824,20220730_053000.WAV,Carp Pond
