start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1076.4695,1076.4858,24609.0,31278.0,Echolocation,Eptesicus serotinus,0.242,0.585,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1076.7255,1076.7409,25468.0,33865.0,Echolocation,Eptesicus serotinus,0.331,0.643,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1076.9885,1077.004,25468.0,33934.0,Echolocation,Eptesicus serotinus,0.339,0.599,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1077.2355,1077.2503,25468.0,30782.0,Echolocation,Nyctalus leisleri,0.384,0.636,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1077.3505,1077.3609,27187.0,38627.0,Echolocation,Eptesicus serotinus,0.447,0.695,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1077.4295,1077.4386,28906.0,38540.0,Echolocation,Eptesicus serotinus,0.397,0.551,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1077.7255,1077.7402,26328.0,33638.0,Echolocation,Eptesicus serotinus,0.259,0.549,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1077.9735,1077.988,25468.0,30357.0,Echolocation,Nyctalus leisleri,0.451,0.583,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1078.4685,1078.4845,25468.0,27978.0,Echolocation,Nyctalus leisleri,0.509,0.609,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1078.7045,1078.7194,25468.0,31479.0,Echolocation,Nyctalus leisleri,0.342,0.596,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1079.2195,1079.2328,26328.0,31629.0,Echolocation,Nyctalus leisleri,0.412,0.588,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1084.0205,1084.0307,25468.0,34303.0,Echolocation,Eptesicus serotinus,0.376,0.632,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1085.2085,1085.2182,27187.0,33853.0,Echolocation,Eptesicus serotinus,0.249,0.559,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1085.2995,1085.3092,25468.0,33280.0,Echolocation,Eptesicus serotinus,0.296,0.539,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1086.2375,1086.2516,24609.0,29534.0,Echolocation,Nyctalus leisleri,0.238,0.504,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1086.6195,1086.6326,23750.0,28607.0,Echolocation,Nyctalus leisleri,0.438,0.59,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1087.1555,1087.1654,24609.0,33026.0,Echolocation,Eptesicus serotinus,0.329,0.637,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1087.3985,1087.4127,24609.0,30617.0,Echolocation,Nyctalus leisleri,0.285,0.549,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
