start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
168.5505,168.5627,43515.0,45251.0,Pipistrellus pipistrellus,0.408,0.509,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
169.5495,169.5618,45234.0,48032.0,Pipistrellus pipistrellus,0.425,0.52,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
253.5385,253.5556,20312.0,22855.0,Nyctalus leisleri,0.717,0.733,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_205000.WAV,recover-20240729,UBNA_007,Carp Pond
114.91550000000001,114.9265,48671.0,51276.0,Pipistrellus pipistrellus,0.368,0.531,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_210000.WAV,recover-20240729,UBNA_007,Carp Pond
0.9035,0.9141,26328.0,32131.0,Nyctalus leisleri,0.376,0.6,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
1.1655,1.1751,26328.0,33645.0,Nyctalus leisleri,0.303,0.638,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
1.3265,1.3431,22031.0,26020.0,Nyctalus leisleri,0.558,0.614,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
1.5815,1.5989,22890.0,26778.0,Nyctalus leisleri,0.482,0.561,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
1.6435,1.6532,25468.0,31383.0,Nyctalus leisleri,0.424,0.578,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
1.7975,1.8074,26328.0,31507.0,Nyctalus leisleri,0.345,0.535,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
1.9425,1.9523,26328.0,32039.0,Nyctalus leisleri,0.46,0.633,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
2.2715,2.2881,22890.0,26082.0,Nyctalus leisleri,0.549,0.599,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
2.5425,2.5584,22031.0,26061.0,Nyctalus leisleri,0.681,0.709,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
2.8205,2.8409,22031.0,25802.0,Nyctalus leisleri,0.554,0.594,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
3.0865,3.1028,22031.0,25817.0,Nyctalus leisleri,0.571,0.621,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
3.2575,3.2763,22031.0,26443.0,Nyctalus leisleri,0.464,0.536,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
3.4415,3.4554,23750.0,30126.0,Nyctalus leisleri,0.383,0.574,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
4.6785,4.6919,22890.0,29278.0,Nyctalus leisleri,0.218,0.502,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
4.6985,4.7082,27187.0,34089.0,Nyctalus leisleri,0.396,0.644,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
4.8495,4.8674,23750.0,27735.0,Nyctalus leisleri,0.454,0.532,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
4.9495,4.9598,26328.0,32485.0,Nyctalus leisleri,0.516,0.657,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
5.0835,5.0932,26328.0,33259.0,Nyctalus leisleri,0.46,0.661,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
5.2155,5.2263,27187.0,31831.0,Nyctalus leisleri,0.365,0.531,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
5.3295,5.3403,25468.0,31638.0,Nyctalus leisleri,0.455,0.595,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
5.4605,5.4722,25468.0,30564.0,Nyctalus leisleri,0.544,0.648,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
6.0085,6.0248,22890.0,26914.0,Nyctalus leisleri,0.531,0.607,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
6.2295,6.2448,22031.0,27329.0,Nyctalus leisleri,0.389,0.579,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
7.6945,7.7113,22031.0,25969.0,Nyctalus leisleri,0.524,0.574,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
7.8975,7.9149,22890.0,26644.0,Nyctalus leisleri,0.432,0.506,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
8.0795,8.095,23750.0,27544.0,Nyctalus leisleri,0.533,0.583,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
8.2735,8.2892,22890.0,27708.0,Nyctalus leisleri,0.456,0.607,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
8.4365,8.4517,22890.0,27763.0,Nyctalus leisleri,0.384,0.587,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
8.6535,8.6697,23750.0,27657.0,Nyctalus leisleri,0.457,0.556,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
8.8365,8.8527,22890.0,28133.0,Nyctalus leisleri,0.375,0.583,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
